RANK,NEIGHBORHOOD,DIVERSITY INDEX
1,Mid-Wilshire,0.755
2,Alondra Park,0.748
3,West Carson,0.748
4,Gardena,0.748
5,Downtown,0.743
6,Carson,0.741
7,Palms,0.739
8,Signal Hill,0.737
9,Long Beach,0.723
10,Playa Vista,0.722
11,Larchmont,0.708
12,Pasadena,0.706
13,Artesia,0.706
14,Altadena,0.702
15,Ramona,0.702
16,Rancho Dominguez,0.701
17,Bellflower,0.694
18,East Pasadena,0.692
19,Eagle Rock,0.69
20,Duarte,0.687
21,Diamond Bar,0.687
22,East San Gabriel,0.683
23,West Covina,0.682
24,Culver City,0.681
25,North El Monte,0.678
26,Winnetka,0.678
27,Hawthorne,0.676
28,Silver Lake,0.676
29,University Park,0.676
30,Harbor City,0.674
31,Hacienda Heights,0.674
32,Palmdale,0.67
33,Del Rey,0.666
34,Temple City,0.665
35,Northridge,0.661
36,Windsor Square,0.661
37,Westchester,0.66
38,Sawtelle,0.659
39,Charter Oak,0.659
40,Mayflower Village,0.658
41,Del Aire,0.657
42,Reseda,0.656
43,Castaic,0.654
44,Covina,0.653
45,South Pasadena,0.651
46,Lawndale,0.651
47,Monrovia,0.65
48,Lakewood,0.649
49,Harbor Gateway,0.648
50,Atwater Village,0.645
51,Desert View Highlands,0.645
52,Hollywood,0.644
53,La Mirada,0.644
54,Lake Los Angeles,0.639
55,Lancaster,0.638
56,San Gabriel,0.637
57,Mid-City,0.637
58,Lake View Terrace,0.636
59,Glendale,0.635
60,Mar Vista,0.634
61,Lake Balboa,0.632
62,Canoga Park,0.632
63,Rowland Heights,0.632
64,Valley Glen,0.632
65,Alhambra,0.631
66,San Pedro,0.63
67,Torrance,0.628
68,Lomita,0.626
69,Arcadia,0.62
70,Granada Hills,0.62
71,Sun Village,0.619
72,Mission Hills,0.615
73,Carthay,0.615
74,Walnut,0.612
75,Los Feliz,0.61
76,North Hills,0.604
77,Val Verde,0.602
78,Koreatown,0.602
79,Unincorporated Santa Susana Mountains,0.602
80,San Pasqual,0.601
81,Arlington Heights,0.6
82,Cerritos,0.599
83,Rancho Park,0.598
84,Littlerock,0.592
85,Veterans Administration,0.592
86,South San Gabriel,0.59
87,Rosemead,0.589
88,North Whittier,0.588
89,North Hollywood,0.586
90,San Marino,0.584
91,Elysian Park,0.582
92,Burbank,0.581
93,West San Dimas,0.581
94,East Hollywood,0.578
95,Jefferson Park,0.577
96,Downey,0.577
97,Vincent,0.574
98,Van Nuys,0.571
99,Inglewood,0.571
100,San Dimas,0.565
101,Mount Washington,0.565
102,Shadow Hills,0.562
103,East La Mirada,0.561
104,Tujunga,0.557
105,Norwalk,0.554
106,Elysian Valley,0.552
107,Porter Ranch,0.551
108,Whittier,0.548
109,Northeast Antelope Valley,0.548
110,Hasley Canyon,0.547
111,Athens,0.547
112,Industry,0.546
113,Claremont,0.545
114,Adams-Normandie,0.545
115,Avalon,0.543
116,Pomona,0.543
