RANK,NEIGHBORHOOD,PER CAPITA,TOTAL
230,Willowbrook,38224,
231,West Adams,38209,
232,Baldwin Hills/Crenshaw,37948,
233,Lennox,37937,
234,Chesterfield Square,37737,
235,Echo Park,37708,
236,Harvard Park,37013,
237,Florence-Firestone,34408,
238,Exposition Park,33999,
239,Hollywood,33694,
240,Boyle Heights,33235,
241,Jefferson Park,32654,
242,Westmont,31572,
243,Central-Alameda,31559,
244,Arlington Heights,31421,
245,Green Meadows,31347,
246,Vermont Vista,31272,
247,Vermont-Slauson,31236,
248,Harvard Heights,31173,
249,Historic South-Central,30882,
250,Lincoln Heights,30579,
251,Koreatown,30558,
252,East Hollywood,29927,
253,Vermont Square,29904,
254,Broadway-Manchester,29897,
255,Adams-Normandie,29606,
256,South Park,29518,
257,Florence,29447,
258,Elysian Park,28263,
259,Vermont Knolls,27730,
260,Westlake,26757,
261,Pico-Union,26424,
262,Watts,25161,
263,Chinatown,22754,
264,University Park,18533,
265,Downtown,15003,
